Time,Load,Outdoor,Humidity,Pressure,Solar
2016-01-14 02:00:00,5.81,81,85,29.79,0
2016-01-14 03:00:00,5.06,81,85.18,29.79,0
2016-01-14 04:00:00,5.06,81,85.12,29.81,0
2016-01-14 05:00:00,5.25,81,86.11,29.81,0
2016-01-14 06:00:00,6.81,81,85.91,29.83,1.09
2016-01-14 07:00:00,13.62,81,87.6,29.85,33.5
2016-01-14 08:00:00,24,81.8,86.5,29.88,163.7
2016-01-14 09:00:00,29.75,84,81.12,29.88,253
2016-01-14 10:00:00,40.38,84.67,78.11,29.88,343.78
2016-01-14 11:00:00,42.12,88.73,66.36,29.86,520
2016-01-14 12:00:00,44.12,88.78,63.22,29.83,609.89
2016-01-14 13:00:00,48.94,90.7,59.3,29.79,738.4
2016-01-14 14:00:00,47.81,90.62,59.88,29.77,501.12
2016-01-14 15:00:00,44.44,91,58.36,29.75,467.82
2016-01-14 16:00:00,50.19,90.67,58.78,29.75,275.67
2016-01-14 17:00:00,49.75,89.22,61.11,29.75,80.44
2016-01-14 18:00:00,25.75,85.56,71.56,29.77,1.78
2016-01-14 19:00:00,17.25,84.6,76.9,29.8,0
2016-01-14 20:00:00,9.75,84,78.9,29.82,0
2016-01-14 21:00:00,8.25,84,76.9,29.82,0
2016-01-14 22:00:00,7,83.44,80.44,29.82,0
2016-01-14 23:00:00,6.56,83,81.8,29.81,0
2016-01-15 00:00:00,7.06,83,83.56,29.79,0
2016-01-15 01:00:00,6.38,82.62,85.25,29.78,0
2016-01-15 02:00:00,8.13,82,86,29.76,0
2016-01-15 03:00:00,6.5,82,85.3,29.74,0
2016-01-15 04:00:00,5.75,82,86.5,29.74,0
2016-01-15 05:00:00,6.12,82,87.44,29.75,0
2016-01-15 06:00:00,7.25,81.25,87,29.76,1.75
2016-01-15 07:00:00,14.44,82.11,85.78,29.79,74.78
2016-01-15 08:00:00,24.32,84,79.82,29.81,295.55
2016-01-15 09:00:00,45,85.88,73,29.82,334.75
2016-01-15 10:00:00,63.9,87.4,67.1,29.82,548.5
2016-01-15 11:00:00,70.69,88.6,64,29.79,737.9
2016-01-15 12:00:00,64.62,89.5,61.62,29.77,592.25
2016-01-15 13:00:00,63.5,90.6,60.1,29.73,736.4
2016-01-15 14:00:00,62.75,91.75,57.62,29.7,560.38
2016-01-15 15:00:00,72.94,91.44,58.44,29.69,403.22
2016-01-15 16:00:00,63.75,89.9,62,29.69,263.2
2016-01-15 17:00:00,55,87.09,67.64,29.72,60.55
2016-01-15 18:00:00,44.12,84.8,76.8,29.73,0.7
2016-01-15 19:00:00,26.38,83.82,81.55,29.75,0
2016-01-15 20:00:00,16.12,83,78.86,29.76,0
2016-01-15 21:00:00,8.75,83,81,29.78,0
2016-01-15 22:00:00,7.25,83,79.78,29.79,0
2016-01-15 23:00:00,6.38,83,78.3,29.79,0
2016-01-16 00:00:00,7.5,83,80.36,29.79,0
2016-01-16 01:00:00,7,83,83.2,29.78,0
2016-01-16 02:00:00,6.12,83,84.67,29.76,0
2016-01-16 03:00:00,6.06,82.8,85.3,29.75,0
2016-01-16 04:00:00,6.44,82,86.44,29.74,0
2016-01-16 05:00:00,7,82,84.6,29.75,0
2016-01-16 06:00:00,6.44,82,84.88,29.76,0.88
2016-01-16 07:00:00,5.44,82,84.57,29.78,33.29
2016-01-16 08:00:00,4.09,83.44,77,29.82,225.33
2016-01-16 09:00:00,6.254688,85,67,29.83,132
2016-01-16 10:00:00,6.8034096,84.5,74.62,29.81,177.25
2016-01-16 11:00:00,6.430858,86.89,69,29.81,315.67
2016-01-16 12:00:00,5.9185905,88.22,63.22,29.76,438.33
2016-01-16 13:00:00,5.8513236,89.44,61.11,29.73,561.67
2016-01-16 14:00:00,7.0886426,89.75,60.38,29.7,428.88
2016-01-16 15:00:00,10.215611,88.25,64.25,29.7,250.12
2016-01-16 16:00:00,13.570147,87.38,65.88,29.69,137.25
2016-01-16 17:00:00,11.556507,86.2,68.6,29.72,41.2
2016-01-16 18:00:00,9.845213,85,74.4,29.73,0.7
2016-01-16 19:00:00,9.091404,84.75,75.38,29.74,0
2016-01-16 20:00:00,8.708577,84,78.2,29.77,0
2016-01-16 21:00:00,8.691941,84,80,29.78,0
2016-01-16 22:00:00,8.666316,84,80.56,29.77,0
2016-01-16 23:00:00,8.473898,84,78.38,29.77,0
2016-01-17 00:00:00,7.4155807,83.4,79.2,29.76,0
2016-01-17 01:00:00,7.528601,83,81.4,29.75,0
2016-01-17 02:00:00,7.5078444,83,83,29.73,0
2016-01-17 03:00:00,7.1362286,83,81.45,29.72,0
2016-01-17 04:00:00,6.766919,83,81,29.73,0
2016-01-17 05:00:00,6.454004,82.73,82,29.74,0
2016-01-17 06:00:00,6.241157,82,83.89,29.75,1.22
2016-01-17 07:00:00,5.9947705,82,84.8,29.77,75
2016-01-17 08:00:00,5.819008,83.71,81.29,29.8,192.57
2016-01-17 09:00:00,5.527435,86.4,73.3,29.82,381.7
2016-01-17 10:00:00,5.2501955,88.56,64.33,29.81,559.33
2016-01-17 11:00:00,14.58,89.7,61.9,29.79,684.2
2016-01-17 12:00:00,13.94,90.33,61.33,29.77,660.22
2016-01-17 13:00:00,6.44,91.64,58.18,29.73,711.55
2016-01-17 14:00:00,3.56,91.78,56,29.7,592.44
2016-01-17 15:00:00,6.5,91.67,54.67,29.68,423.44
2016-01-17 16:00:00,9.63,91,56.56,29.69,211.56
2016-01-17 17:00:00,12.06,87,66.7,29.7,71.4
2016-01-17 18:00:00,11.56,85.64,72.09,29.72,1.45
2016-01-17 19:00:00,10.75,84.56,79.11,29.74,0
2016-01-17 20:00:00,9.31,85,79.11,29.76,0
2016-01-17 21:00:00,8.56,84.2,82,29.77,0
2016-01-17 22:00:00,9.63,83.9,83,29.76,0
2016-01-17 23:00:00,10.62,83,83.22,29.76,0
2016-01-18 00:00:00,8.5,83,83.6,29.75,0
2016-01-18 01:00:00,8.62,83,84.75,29.75,0
2016-01-18 02:00:00,8.37,83,84.8,29.73,0
2016-01-18 03:00:00,8.13,83,84.22,29.72,0
2016-01-18 04:00:00,8.44,82.38,84.62,29.72,0
2016-01-18 05:00:00,9.44,82,86,29.74,0
2016-01-18 06:00:00,6.63,82,86.56,29.75,1.33
2016-01-18 07:00:00,19.62,82.6,86.3,29.76,48
2016-01-18 08:00:00,35.56,83.33,85.67,29.79,131.89
2016-01-18 09:00:00,47.94,84.7,83.3,29.8,257.8
2016-01-18 10:00:00,57.38,86.89,78.33,29.8,359.78
2016-01-18 11:00:00,60.75,88.09,72.91,29.78,391.45
2016-01-18 12:00:00,69.63,90,67,29.75,372
2016-01-18 13:00:00,79.31,91.9,62.1,29.71,646.1
2016-01-18 14:00:00,86.31,93.1,58.4,29.67,622.5
2016-01-18 15:00:00,85.31,92.88,58.5,29.67,479.62
2016-01-18 16:00:00,79.69,92.8,56.9,29.68,283.9
2016-01-18 17:00:00,70.5,90,60.56,29.7,75.67
2016-01-18 18:00:00,51.31,86,73.82,29.72,1.27
2016-01-18 19:00:00,19.44,85,77.5,29.74,0
2016-01-18 20:00:00,12.94,85,81.09,29.78,0
2016-01-18 21:00:00,11.19,84.67,82.56,29.78,0
2016-01-18 22:00:00,8.56,84,84.7,29.78,0
2016-01-18 23:00:00,10.94,84,85.12,29.78,0
2016-01-19 00:00:00,9.87,83.22,84.78,29.77,0
2016-01-19 01:00:00,9.38,83,85.78,29.76,0
2016-01-19 02:00:00,9.56,83,87.1,29.74,0
2016-01-19 03:00:00,9,82.4,88.1,29.73,0
2016-01-19 04:00:00,7.88,82,87.38,29.74,0
2016-01-19 05:00:00,9.12,82.22,87.67,29.75,0
2016-01-19 06:00:00,9.81,82.44,87.56,29.76,1.56
2016-01-19 07:00:00,24.12,82.89,88,29.79,40.44
2016-01-19 08:00:00,34.88,83,87,29.82,91.12
2016-01-19 09:00:00,47.81,84.75,83,29.83,211.88
2016-01-19 10:00:00,55.44,87.18,75.27,29.83,327.45
2016-01-19 11:00:00,47.75,89.33,69.5,29.81,520.33
2016-01-19 12:00:00,46.88,86.38,76.38,29.8,238.62
2016-01-19 13:00:00,53.94,88.56,70.22,29.77,542.78
